sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
CR-30,201434,0.39120135248923044,0.4472346536704115,0.22124910795778785,0.14208764439087504,0.003537021910602891,-0.056485421984169254,0.03524432302490098,0.02543722923904493,-0.00127106838094017,0.0018038156677369134,0.0,0.0,0.0,0.0,0.0
CR-57,201454,-0.13729431382296486,0.09730834445765892,-0.21289124800814463,-0.24580660333557414,0.0972280420675959,-0.06594427155390656,-0.09380819425142214,0.03135228458610506,-0.0259735632497579,-0.0034906918439288766,0.0,0.0,0.0,0.0,0.0
Tri-10,201575,0.28918685041526515,0.05369182899726438,-0.0258372094295113,0.0225099970929872,0.011956786714034918,0.0067877653015100455,-0.021989576477652137,-0.0024088328429146782,-0.004292740155080576,-0.021229016914209937,0.0,0.0,0.0,0.0,0.0
CR-32,201436,0.11964606386681662,-0.23036815925863405,0.264994402481288,-0.13749804893262615,-0.1705617057700987,0.03249970852000256,-0.07808706391268386,-0.0066092663762045605,0.005947342419006144,-0.00041138666732514417,0.0,0.0,0.0,0.0,0.0
Tri-18,201583,-0.11225515911070133,0.17025126376227495,-0.03195078732137755,-0.1732771344405617,0.018399985752510232,-0.012979789257527966,0.048324839211625205,-0.1118665626918792,0.024295233564848466,0.005195698414849712,0.0,0.0,0.0,0.0,0.0
Tri-51,201605,-0.14676849394045294,-0.005672684638560551,-0.1417153736869001,-0.0703644062523551,0.006277863394943552,0.11804959743616485,0.0981240595463902,0.05505772628225786,0.014242340275150454,0.00701697691734088,0.0,0.0,0.0,0.0,0.0
KL-102,201749,-0.12910365134357635,-0.2281993793585366,-0.1089917173470101,-0.04524762662005184,-0.09281930051949047,-0.11101271976009261,0.10149757758915462,0.029405962376712398,-0.03314447989010165,-0.0013474091310537919,0.0,0.0,0.0,0.0,0.0
KL-98,201757,0.25956173450409903,0.05215099812688258,0.03464065519798384,-0.030573283643270208,0.02727236010651769,0.04970872840988554,-0.05290356936525738,0.043683645248643425,0.020683257249789234,0.011239614466029845,0.0,0.0,0.0,0.0,0.0
KL-105,201763,-0.10713117945089361,-0.06766186971528856,-0.26114884495471663,0.12296811387119372,-0.028951855483759763,-0.04037537548094963,-0.04387792482606882,0.005282130716880769,0.06573055180119833,0.006388572706306146,0.0,0.0,0.0,0.0,0.0
KL-121,201777,-0.04333800199476631,-0.31939017346551923,0.3634735044719928,-0.06444238626202305,0.1536689857164943,-0.0013660111160821694,0.039553609304658954,0.00444836357183991,0.012258209978711335,-0.0017590151992196643,0.0,0.0,0.0,0.0,0.0
KL-178,201802,0.3590628063852046,0.01377812146618671,-0.09016245086909846,-0.0030246447808163516,-0.029269470361032997,-0.01736228741663407,0.039213574576105414,-0.005785246276001889,0.026168523088119275,-0.014046206436901871,0.0,0.0,0.0,0.0,0.0
Tri-20,201585,0.3294082605877966,0.020437429915133927,-0.03662310382711577,0.02349829331574528,-0.011670891722765888,0.0004003603635461818,-0.01103942833208631,-0.026409634839580833,-0.05272390860198317,0.020269199978240303,0.0,0.0,0.0,0.0,0.0
KL-025,201669,-0.06500731759582881,-0.3129735361430289,-0.057572447986230624,0.29018028908941307,0.05979336865965473,-0.023917975213748905,-0.032359424452513386,-0.02830127457252384,-0.01217050655480103,0.0018816674100902858,0.0,0.0,0.0,0.0,0.0
KL-37,201674,-0.8672471141365812,0.2531244639123569,0.20272252470774035,0.08364910246971281,-0.03899389847788931,-0.017955092915988687,-0.022355943273019,0.011468925696200229,-0.0025059205157097453,-0.0013908916348588062,0.0,0.0,0.0,0.0,0.0
KL-704,201687,-0.1399218368526475,0.05628869827139804,-0.12018701138668664,0.08534069403735178,-0.005867291987317891,0.13995278466799252,-0.005536858362134206,-0.024755450118575873,-0.03724327102844802,-0.010120927733106178,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.47405432184014035,0.2083027275695729,0.15681482780382178,0.08588251425166739,0.026475994869053065,0.02009017091765467,0.01622293426125465,0.007479743932902895,0.004197388382298434,0.0004793761716338836,0.0,0.0,0.0,0.0,0.0
