sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83
R114,243276,-0.3376228533854301,-0.019385101826542267,0.1482095493299979,0.026119816919120194,0.009526446939288101,0.004098043266492903,-0.013334421494748347,-0.032536312656202306,0.001939779734844469,0.0036239292940511876,0.0020987785389114844,-0.0002898902911151804,0.0012588226733659226,0.008601714348980927,0.007151024607000331,-0.0044688842231566895,-0.0018879866403931974,-0.004732741201926461,0.0019760729188859896,0.011841950440068203,-0.006813638128696664,0.006137639035926559,-0.023193476145198406,0.007639937612403776,0.00985170389562704,-0.004524182091108627,-0.001539534981896157,0.0014373248663377487,-0.02009119080564533,0.008548020417613303,0.02099571956550591,-0.0019425534376557175,0.0005093164217074892,0.02104227191811519,-0.010957697643393546,-0.0005983014758786451,-0.0013015190490245831,-0.005613327634778749,-0.001164523732147594,-0.014173587876719516,-0.0011049271554028181,-0.005527864828913697,0.004778524117180036,-0.0025839900873673013,-0.0029587990407323184,-0.00027470717768059323,0.004599718514644968,-0.0002059046941003395,-0.00463372054430434,-0.0006215777047950889,0.001987235003839881,-0.0014236405154827052,-0.0030959124726786013,-0.0008657899465352261,-0.0014904761482071108,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R232,243392,-0.19405335208946964,0.0007851800513730531,-0.3312205193139026,-0.2793714645031079,0.0932146715148492,-0.017030920847319185,0.08705564602649646,-0.013047522032255109,-0.00020985161483530446,0.0061633740754728165,0.006604439425184668,0.01155422925344055,0.013219614086624523,-0.013903136347298534,-0.01828397313054776,-0.0033349494189106343,-0.010548629800755289,0.004260596721467462,-0.012792355801182377,0.0016727726903218562,0.005896822443798504,0.00044192756549562044,0.01418264524774543,-0.014434085615986695,0.01077919934753322,0.06559204514790296,-0.0005096000186759399,0.009896407419680318,0.01013063905742137,-0.03006428235976741,-0.01083191472633758,-0.0014079731891026186,0.002261736926435333,-0.002840522134516309,-0.0060152262626420195,-0.003232139240735992,-0.0012343322319744512,0.008023163864217432,0.0021789941644054294,-0.0018344404094456444,0.0027587810869623823,-0.0003996148544486413,0.004334346819932392,-0.0029592069842668415,-0.002444571689409138,0.0012969294510920884,0.0021167025500618652,0.0021072150401313045,-0.0015812249513250426,-0.0003073031449811305,0.0010435704220298015,0.00017537148859226003,0.0007181021253696567,9.349909339347697e-05,-0.00018225615920919842,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R233,243393,-0.20964503898466078,-0.0013122011084572354,-0.31987798062422457,-0.26299265975190306,0.09170480116732263,0.0164083074634327,-0.010155641113608888,-0.020819619106912005,-0.0021528767534422974,-0.004794760177264553,0.0006804525682095376,0.0065305339013430235,0.008598114379929179,0.026092419569657615,-0.015126222459278763,0.036501846570670404,-0.0008859733539626704,-0.025312693030206123,-0.014536752331631042,-0.017164196010209496,-0.016992913908358432,-0.015193787829469875,-0.0031520150155927612,0.0036103179822185257,-0.010645530038693497,-0.028747042952816593,0.004971016389273843,-0.004760377270933361,0.03653803527161834,-0.015285371542101526,0.014309386239123964,-5.8591539599753005e-05,-0.0024814937951587028,0.012012887747357221,0.002606535864908274,0.00481326851827886,0.00047131118333722943,-0.009397132331664674,-0.005395682324844698,0.0026967705144928357,0.0029362860362480443,0.0054850551152182975,-0.005544008077040581,0.00722693095217101,-0.002480424485675173,-0.0007537410581193098,-0.0001886524068199004,-0.00285783535151831,0.0004585728722305117,9.185153337039382e-05,-0.0005702291926940011,-0.0024619897492043864,0.0020456612691044334,-5.735521848079958e-05,0.0005219848114457839,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R306,243459,-0.2397792413740995,0.029770281979776377,-0.13026236588903725,-0.16134844152229963,-0.16610555506263913,-0.09877899503132498,0.17387171603824547,0.008838668414605576,0.005961986656653937,0.013865217212341576,-0.0013352440142276173,-0.02382144462980895,-0.023269295856825852,-0.018513066837447193,0.05508914678828869,-0.05567869352235881,-0.0019301534421105105,0.03478429551928395,0.012715656764989206,0.014715088827471372,0.013265865878895798,0.009479540495998952,0.010670477950979688,0.0065448007320816634,0.005588062632410556,-0.00580881005620202,0.016576787966262448,-0.001782895513234267,0.002353425227357288,0.001817133574085585,-0.0012766193742548635,-0.0024203151131625003,-0.0054709529105661575,0.007847487917326172,0.006394420600420081,0.008363326763830971,0.004352747816511592,-0.00893297049382921,0.003186792622452601,0.002978506746225346,-0.0007641723743178721,0.0032374541475766266,-0.004592250435183628,0.0028529731095963615,0.0015499490189245142,-0.00040885019896292084,-0.001718546295250036,-0.001315449628950097,0.0009925161096013874,8.910138125393784e-05,-0.0008278929769845346,-0.00021688220307866792,-0.0005646538580063646,-0.00024411717475809178,1.9753612689409345e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R412,243535,0.4750054020993324,0.5339159505303543,0.057239235684798224,0.0011800208343530352,0.007456623034409025,0.04902309196316011,0.014121665485046932,-0.005088149781969313,-0.03615334887913449,0.0040467287886739745,0.008581259154538194,-0.05868458305345402,-0.04454052967670181,0.008573932143003235,-0.032114903015787746,0.03932743297843804,-0.01255457549429973,-0.01040181206732005,0.04918874680357588,0.06114982622427393,0.03993038018507488,0.0004674534125803081,0.017692050164113616,-0.014830012049156543,0.01128043016093745,0.004712700198168775,0.017354694867247444,-0.005753306611789813,0.008149185717083823,0.011455344493190566,0.0036650300213230138,0.011612742420521942,-0.0006345816237042811,0.0069208771707406185,0.010083746832651385,0.009206473440272325,0.007895137302066032,-0.009831684930695401,-0.002935582892339229,0.015558721331305137,0.007015137134280861,-0.013650239775815401,0.003637924174727182,-0.007935899819410492,-0.0052799304594743956,-0.000501289978385267,-0.0011662139038276277,-0.0004117600651027501,-0.004670110553753476,0.000577603011756848,0.0025319940707621085,-0.0019657035789015552,0.0005103437937362984,0.0002147173095574886,0.0004956002994682137,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_004,243552,-0.3395634051342033,-0.019063624989030088,0.11656842550942699,0.02780740630383925,0.026883377997795027,-0.016468737658900428,0.0499125692302127,-0.024215198361978284,0.0004674113209039609,0.031411824173701176,0.01733899520003169,0.006926917871817496,0.00420034913359571,0.004338838884698551,-0.011775989499784378,0.0001843615232169773,0.01469887102381132,-0.02027692662028124,0.015986463086030644,-0.01520392955552155,-0.0009474340984703824,0.004887464351368005,-0.0030641572516302896,0.002337257301095261,-0.0021231058157247682,-0.01681550201835516,0.011436289530581692,-0.004389865265720271,0.02343563493910163,-0.008965565926636998,-0.009043515897848223,0.002228311352662602,-0.0017306551676302454,0.009770480869921749,-0.00384641481244349,-0.007955737534809285,0.014335422988080626,0.011984924819669718,0.0059331752636027565,-0.0008113730536003651,0.0016676994090650394,-0.00669363694683258,0.001514397193932824,0.008873155584867159,0.001484840086131159,-0.0024128167920695193,0.0008300853493419193,-0.002118271003504131,0.00041393887392763304,0.0020385164026827302,0.005757152690866265,0.0015043658600866392,-0.001398058956197871,-0.0007942732015465862,3.0290185544901285e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26_OFAV_007,243553,-0.3404269762659804,-0.019251940770093942,0.12416868495619723,0.04245738521337061,0.00538059326171343,-0.00801565996545424,0.025029756188828946,-0.02387496501234259,0.0007087168834806413,0.009094274560919652,0.004858403524947689,-0.0017033526745746663,0.0024137899118060273,0.004591850155985441,0.0038205512680097413,0.0025829276216366268,-0.002207902384934213,0.0051081001168717406,-0.0013302327224269505,-0.005262446656158884,0.007333525742721048,-0.011303368588220402,-0.00014319308526432328,-0.008311381373194064,-0.010709722239618887,-0.00931915471355926,0.011750115425956366,-0.001295625664629687,0.008881231540579152,-0.009565189159508556,0.011695250246370524,-0.0030796808051935334,-0.000302753276726075,-0.009810365572439802,0.004313096024455691,0.00644009894679418,0.00573673094725724,-0.003520166061275619,0.0091190705284906,-0.0005544727375247191,-0.006693295132865258,-0.00046120540744794974,-0.0012230554845743956,-0.003737974777208492,0.0032153169493466045,0.006465069152340942,0.0036095616640980316,0.006756720914771384,-1.0865691980649156e-05,9.442362107786843e-05,0.003891687771844935,0.003981456592832988,-0.002846889995704535,-0.0017562492908921512,-0.0006674677436741458,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_001,243564,-0.3386037905667445,-0.019327449135338237,0.14092396277452798,0.03241631161284192,0.011788587605635049,0.0015591684549341944,-0.012483779428575424,-0.028448666821326837,0.002135316788354027,-0.00403497174924659,-0.002614003697271108,-0.0027128331803186498,-0.0014768462798165807,-0.0007519098075746316,0.004011400166959524,-0.0036923140862072513,0.0031318423779136875,0.0006012025342212049,0.009811543980696611,-0.006754368004135104,0.007997624521854579,0.005904169533156868,-0.0005898397586686569,0.005595983108530299,0.0076483698380190625,0.006089125305710102,-0.009666932501013373,-0.0002454070637230608,0.01317287504706131,-0.0074450293307081195,0.00031175874915940035,0.0017113919514000003,0.003452293847756149,-0.017223650740674713,0.0029033138171862677,-0.005066130316192009,0.003891881360310137,0.009035084742485025,-4.579262487150015e-05,0.002057516188613227,-0.01193397011926642,-0.017854364713585306,-0.00021642074758571885,0.01828363617722511,-0.0033489281226801505,-0.0007469579097938922,0.007371914986196501,-0.0013451313593492958,-0.004497841405594622,-0.0008340894854349826,0.0016859082359165748,-0.0010229140137439673,0.002525461849291895,-0.0006139671537062262,0.0003916310529917364,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37_OFAV_002,243565,-0.33989092599136117,-0.019256575875563696,0.1266069412355015,0.05213364355140827,-0.0017176516942914266,-0.0014095711777962908,-2.7122115814699243e-05,-0.032549308749069646,0.0018839608040318522,0.010139544060439766,0.004701123293031421,-0.0017586554661008108,-0.0027222270212792906,0.006610874948408092,0.011529708299000994,-0.0008516825151112301,-0.004624062148326884,0.00047259093132218544,0.00823819014807448,-0.004496921658262376,0.007155432177638141,0.004704939490582984,-0.023283059154942966,0.005774239293567656,0.014436492258868587,0.011325955014726023,0.0030876299895181668,0.0012843835508728,-0.009070762352067253,0.0031771991862442044,0.013134285654230296,-0.002203299434828869,-0.002157983507038672,0.0032595285823763917,0.0019263117153878692,0.0035681653626083243,0.005423697941729909,-0.0029688742109981008,0.004230067090496249,0.0017816586321263365,0.006088410947894815,0.01082381872104308,-0.0053135718323107815,0.0057877844400787805,-0.007350078711948826,0.006573403577054554,0.004638077356949919,0.0016626909942944633,-0.0029109833675922308,0.0020626869807751583,0.005309538152383871,0.006141516366782116,0.0007242098690132698,0.0022029669376028007,0.0012601178405441918,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38_OFAV_004,243574,-0.3383486080374225,-0.019278103654519155,0.1367567407787933,0.04262081784925726,0.00980843249964986,-0.00031128174356976333,-0.009284348730735375,-0.03612589823596372,0.0027482412318011393,0.014514086832898069,0.006789801915144713,-0.0023060507519002734,-0.00020381950470865336,-0.0014626875330759682,0.0040262297526369156,-0.002503971331775978,0.0016664161456568995,0.005449236188272714,0.005625109482543381,-0.008976972133574788,0.010299716367797931,-0.0009914954082792722,0.004277913095706415,0.002029100527395372,0.003769656223415055,0.005069766066917808,-0.002642851671361414,-0.00013132248621576994,0.006119301381113416,-0.0025706729129697146,-0.004396234830819174,0.0003911840535559036,-0.0022940085315312467,0.013804470236914628,-0.0030430595995621875,-1.0930731511634021e-05,-0.006349562359969059,-0.0071624877068204315,0.000804417957518038,-0.015632536774306822,-0.0037674999849459114,-0.010414784153371373,0.003956300574568146,-0.0032124787478547724,-0.005216382008508397,0.002314799836807685,-0.005219143450657856,0.008526736031741342,0.004756582465687334,-0.0032160025592597283,-0.0065917884978390195,-0.0006311875817285844,2.345229309260408e-05,0.0018942590218900273,0.0006139849552189568,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
