sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
201578	Tri-13	Tri-13_S401_L001_R1_001.fastq.gz	77fcf4d312be3b8b4e64c6a40c1f9901bacb5648c8699eef20a74c7a5d83697a	Tri-13_S401_L001_R2_001.fastq.gz	d061b3528a1ceb3e345995668aaceaff1a8e7dbf5fcacafbdd2cbedbd9d41574	1016	20240723T194127_rcunning	20967	2623	32	10	3	0	0	2613	29	4	1	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Faviidae	Diploria	labyrinthiformis	25.00873947	-80.44978333	20210702	9
201576	Tri-11	Tri-11_S399_L001_R1_001.fastq.gz	d9b3dc7eac2926e11201ee0ffb5d9fb0646c4ef10a9bd81a16aeaf7dc09dce6c	Tri-11_S399_L001_R2_001.fastq.gz	3b995d5578eab1ca42af6ed7c7684e9e1b28839e61ef37333c9293a79641e4c0	1016	20240723T194127_rcunning	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	faveolata	25.00873947	-80.44978333	20210702	10
201570	Tri-16	Tri-16_S393_L001_R1_001.fastq.gz	55653da331280fbac6558e4a99401a5f5b50d85c1676cedf06548df69219491c	Tri-16_S393_L001_R2_001.fastq.gz	84ec8e7679a61783cf0293573cdd8ebf8a880d1798f46e3e300bbfa2aec1e1f6	1016	20240723T194127_rcunning	12101	1032	25	9	2	0	0	1023	23	9	2	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	faveolata	25.00873947	-80.44978333	20210702	8
201569	Tri-15	Tri-15_S392_L001_R1_001.fastq.gz	6743917cbb3320e5892892fd4624531e4256c4c338797b4ae16c66c9fda89d47	Tri-15_S392_L001_R2_001.fastq.gz	4a7136712f4092e4fca4d8b4f2d687dd9b9d2369ef6dd2d6e368e6dc9780dffd	1016	20240723T194127_rcunning	21674	1288	26	0	0	0	0	1288	26	0	0	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Meandrinidae	Dichocoenia	stokesii	25.00873947	-80.44978333	20210702	9
201566	Tri-1	Tri-1_S389_L001_R1_001.fastq.gz	f5322533f14a65c2fa9418f23749eba9280b47c129eb45eaf5743425d58041bd	Tri-1_S389_L001_R2_001.fastq.gz	ef29f62f845a232052f499a87b599d16bd0df3fd0cc097b9427f08bc224136be	1016	20240723T194127_rcunning	6935	532	21	144	1	0	0	388	20	144	1	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Scleractinia incertae sedis	Solenastrea	hyades	25.00873947	-80.44978333	20210702	9
201565	KL-PR-16	KL-PR-16_S388_L001_R1_001.fastq.gz	fd53b9f0fbfe0408f992b2fa44b452e0a763b52684e7f5298f05cfd14e11ba6f	KL-PR-16_S388_L001_R2_001.fastq.gz	aff9e8477e0d2d7ba7ce2ea7c4fb7a45c62487bf7351751bd0ebed5941b32ff6	1016	20240723T194127_rcunning	33043	2278	48	73	3	0	0	2205	45	73	3	0	14	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	unknown	unknown	unknown	24.98698044	-80.41486359	20201012	20
201564	KL-PR-15	KL-PR-15_S387_L001_R1_001.fastq.gz	77fa40e0160cc7c0ef496cfaeee24c219c50b8688b6fbfd1e7f2009d7b6b588f	KL-PR-15_S387_L001_R2_001.fastq.gz	cd10482d0b9f2e38cd66b34776117f82cd6a8111c82c63e5606c8d0e607a8b85	1016	20240723T194127_rcunning	24657	1710	35	54	2	0	0	1656	33	54	2	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	unknown	unknown	unknown	24.98698044	-80.41486359	20201012	20
201563	KL-PR-14	KL-PR-14_S386_L001_R1_001.fastq.gz	4c5c5623fe443b78027f925eecbce29acdcd24a63dd5aefe50bf3abf5cd76b4e	KL-PR-14_S386_L001_R2_001.fastq.gz	22c53eddf955c49261338c955835395edd2f827ed326d403e944c02fe43e23a4	1016	20240723T194127_rcunning	28021	1276	38	0	0	0	0	1276	38	0	0	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	unknown	unknown	unknown	24.98698044	-80.41486359	20201012	20
201562	KL-PR-13	KL-PR-13_S385_L001_R1_001.fastq.gz	cd98defc68b72baa3865a2e4d1e21e7bf043dd10cd05b1cf1fd83ee20ff1235a	KL-PR-13_S385_L001_R2_001.fastq.gz	695b929010fd7b1ff42fbf82a164690c39fa6db42ff42057adfe51c575cdaa3f	1016	20240723T194127_rcunning	20933	2029	37	0	0	0	0	2029	37	0	0	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	unknown	unknown	unknown	24.98698044	-80.41486359	20201012	20
201549	KL-PR-2	KL-PR-2_S185_L001_R1_001.fastq.gz	93ed82174ecc9edc5f20df48c198a09ce786b4e6f217c3975a136548f1eba3c8	KL-PR-2_S185_L001_R2_001.fastq.gz	8942c2fc92e2b39b51356d7045e04432219fdca15e88f248b9f2ace21ca0deff	1016	20240723T194127_rcunning	21280	2669	34	0	0	0	0	2669	34	0	0	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	faveolata	24.98698044	-80.41486359	20201012	19
201515	KL-CP-56	KL-CP-56_S151_L001_R1_001.fastq.gz	1c7af7a9f213bac8e9cb338c8c196bfc11853653fb5e5e1fcc77a07c6d60fd0b	KL-CP-56_S151_L001_R2_001.fastq.gz	57b016333a58e1479e7f1fb47ba090284be4ff33cf39ecd906a99e5c86f16577	1016	20240723T194127_rcunning	254	40	5	14	2	0	0	26	3	11	1	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Poritidae	Porites	astreoides	24.90399933	-80.61685944	20201012	13
