sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200,PC201,PC202,PC203,PC204,PC205,PC206,PC207,PC208,PC209,PC210,PC211,PC212,PC213,PC214,PC215,PC216,PC217,PC218,PC219,PC220,PC221,PC222,PC223,PC224,PC225,PC226,PC227,PC228,PC229,PC230,PC231,PC232,PC233,PC234,PC235,PC236,PC237,PC238,PC239,PC240,PC241,PC242,PC243,PC244,PC245,PC246,PC247,PC248,PC249,PC250,PC251,PC252,PC253,PC254,PC255,PC256,PC257,PC258,PC259,PC260,PC261,PC262,PC263,PC264,PC265,PC266,PC267,PC268,PC269
Tr-29,201394,0.33859388537085805,0.040861968343136434,0.019773151977780287,-0.18206260248514963,0.10303957881332451,-0.0061016039469432,-0.07102008952434646,0.11912692464203037,0.017760992984318432,-0.11127338780737844,0.009418464219828818,-0.004703103435369026,-0.01656593241801607,0.00038825199757619796,0.005317654967415998,0.1025988469312141,0.0005527478885352144,-0.014630463585967235,-0.001542609681480493,-0.006843646535249745,0.00887315761284911,0.055419957440513146,0.11232453911452339,0.016687068924957593,-0.011298701166719554,0.004200624043067514,0.009460314957051972,-0.008981804559076234,0.008225138873539338,0.028707744060888267,0.03087540627792372,-0.01145241090066824,-0.005023486128830367,-0.017299496163973267,-0.03676017470978413,0.005371220425160311,-0.01054792997317366,0.0008831278655419796,0.004597627115687924,-0.026761608484670883,-0.016666630034023425,0.0023945170865177384,0.001203215364068016,0.0012510538331293086,0.004948860520371421,-0.022743877511899786,0.027037793343521015,0.013565130603165717,-0.023228890537393448,0.004727658057874686,-0.016042048788261203,0.011421311006724045,-0.004504628189800267,0.004432228004962795,-0.0051648129928535515,0.009742395175038056,-0.013390687619069691,-0.007080123696974549,-0.0017756284362743266,-0.016202807140546,0.016654354372351948,-0.015228863297210588,-0.001642609946763619,0.006370038679122574,0.012269827919271385,0.030576512164825174,0.0032074940958599883,-0.00808139436638506,-0.003518361975652926,0.0022076149318855025,-0.009015889786885722,0.011760204505846274,-0.008892998586315627,-0.0032273032077043623,0.004432658042410899,-0.002282375274483245,-0.006361382389940839,-0.004185313090637727,-0.010575654512009466,0.008351540131146036,-0.01575002727654732,-0.00731558263573923,0.0015443465994382174,0.005634479492784566,0.009918670074457677,0.005427499823621751,-0.00486035596604939,-0.0018408917171589027,-0.01125036770703234,0.010665598520957924,0.005372934568633869,0.014004670392227038,-0.0062787135706053165,0.017619169526708896,-0.002330188299110222,0.0010440812440291455,-0.006183237319986275,5.38852924869276e-05,0.0045833202260728186,0.003041721058167579,-0.017939242018435206,-0.005276646920069763,0.0001270578324502423,0.005196533974452354,-0.003188370804254636,-0.008962667535845245,0.004749854261745848,-0.008305485654548531,-0.007005934185931753,0.0031796524660320834,0.0010258219749061197,0.0012238850172845894,0.0006682564370107925,-0.004396599179031999,-0.005169019368769042,0.003578028916294019,-0.009246253391064508,0.017863318026808312,0.0034630577187790778,0.0008110274513002903,0.007380891807022204,0.002123931576513274,-0.0008451489255762259,0.0050303602436111376,-0.0029507030533771515,0.0029013019859243376,0.004575935872940399,0.0037568652797268843,0.0016836217468660017,0.000860126950402702,0.0027458054567988254,-0.0027043723106139634,-0.002223205751817768,0.002433078547132997,-0.002317006707665433,0.002606998241325214,0.00023287089213605994,-2.7424464261417115e-05,-0.0008044933346035022,0.003187143095549234,-0.00044131162815950754,1.1994777246014897e-15,-0.001466788013000574,0.001183981113406464,-0.0012305693442287778,0.0018068429769765423,0.0018996284207797888,-0.001540255702183022,-0.0035086491520696966,-0.0009713811587327816,0.00021182629935848334,0.0031919282987117373,-0.002585897471302178,-7.933743822716039e-05,-0.0011710867762494222,-5.297701292475422e-05,0.00018633294721127276,0.0029436985463519557,-0.0003428389928727353,0.00021051021780504016,-0.00045371860099685654,0.0004561549017412808,-5.9090197586495436e-05,0.0003745669885873495,0.00014645613797905979,0.0019303718598223608,-0.001190274954786889,0.000327555093484857,0.0011707691030705526,-0.001870019871386689,0.0009782764906772297,-0.00033874276662333903,-0.00024105797807250749,0.00015374569592767963,-9.077496049011502e-05,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR-3,201395,-0.33564879672314635,-0.4338195601956008,0.03930503905912699,-0.013706975719905838,-0.13991228034714748,0.11266111572377425,-0.05481707972752029,0.03347084911171538,-0.01027195121427134,-0.015527225874150813,-0.08123002743848062,-0.3696280239921508,-0.02055868388763712,0.0065928751084682125,0.07125624423515438,-0.00011679211307300509,0.01549689396498636,-0.02740675965520664,-0.009114893835608496,0.005561347033211922,0.005724206034783437,0.0021764201285304685,-0.0009470154831625788,-0.0016187624007156587,0.02350506885419636,-0.021776656704959894,-0.006910433598930413,0.010676807769196873,0.007722797581486531,-0.012049227361418637,0.009838109417008209,-0.0027039068469070985,0.0029655061541552937,0.0055831354631497325,-0.0030236224166805188,-0.0014539457786452805,-0.007208097541528856,0.004026983779924162,-0.016694905793672617,0.01267560657058281,-0.010703806007936753,-0.00864982676558054,0.01042012832758829,0.0005863889504341286,0.007868890813196973,-0.0028401438130284777,0.009282355656630251,-0.01121701250714249,-0.00999636045063358,-0.011428300324538215,0.00869016638125756,-0.005992689001394984,0.012907006911559847,-0.009460325710300576,0.0035103609314447387,-0.002129092768523517,0.0027957563475127464,7.5427702860457915e-06,-0.006517890751614329,0.002243210087396368,0.004043123343743526,0.006801567180557898,0.00017945203973744047,-0.005559337425573649,0.01911176716392193,0.0024282712561050934,-0.004070121964658085,-0.01761071900653821,-0.007647791154487844,0.0019355657637925832,0.004944589848139637,-0.004975214369493945,0.008213054584957637,-0.006020512614539624,-0.0025063306279378052,0.006755691641479587,0.006872388729883133,0.010945548839645781,-0.0007168801904385832,-0.0017721221829924039,0.006031360734846729,-0.0003296172839273309,0.01161851206480656,-0.0004690178370469101,0.007664995211319614,0.0028760649144143674,0.0037196676714964763,0.0031011861415474323,0.004738418628215137,-0.003715528756663831,-0.002228408784553197,0.01048170955409838,-0.00226522145546914,0.0005241422596891178,-0.007193252556242118,0.0075956450355279415,-0.010661838046294775,-0.005707189037735166,-0.0036589080278446157,0.0030322765498067175,0.006404970789091224,-0.006539551545121406,0.0036466444722485737,-0.007096323407523599,-0.004206655066666781,-0.0006291560070278618,-0.0033096484751596253,0.0009483055470185384,0.006708458842872861,-0.004223779764057882,-0.004966062994297657,0.0037248648162195833,0.0008486915251159976,-0.007008513389462928,0.016624551146277013,-0.007865707550372601,0.0003794681230617197,0.00426056654183259,0.0035252894661410407,0.002624823833208516,0.003622772725270474,-0.0020923592393712496,-0.0022754021144442004,-0.0016559932951107793,-0.0004139898171116687,-0.0008612581341243142,0.0013408064318947328,0.002572147700453382,0.0019022323072226178,0.005050640136846379,-0.0007452231989467246,0.0008585410097424907,-0.0024942355076101484,-0.004686483839187122,0.00033904849129689493,-0.001107209104724042,0.004138987044519946,0.007984172220526988,0.003635985490715562,0.0014058014521802222,-0.0017751968758615154,-3.727169019056395e-15,0.004491815604847589,-0.004058353281800287,-0.0022601120190290404,-0.0003629334687094184,-5.4134881346142816e-05,0.0029760878297148434,-0.00505542879718043,-0.0014468442736367514,0.0003655252613184639,-0.0023886786832129584,-0.0020555438691724146,-0.001482655431889799,-0.0036539597996239938,0.0019385453292654522,-0.0010802337137210372,-0.00043075427629712205,-2.1764895082768958e-05,-6.14702741442788e-05,0.00040014410797448207,0.001687053358663656,-0.0008368772795451969,-0.0011668737955338486,0.0005027896079614092,-0.0008217582584171348,-0.0026585777115344413,0.0012957635557166315,-0.00045319985894750643,0.0017299206395529996,0.0016912696323805384,0.0009156632444382672,-0.0004256396549445532,0.00010940150232369787,-9.498808665032837e-05,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tr-30,201398,0.31549733761709986,0.03541468398337913,0.007891746713002185,-0.24509518049705586,0.1288915032073382,-0.00992750290124335,-0.07306446501417281,0.11319247358199166,0.008062695216966969,-0.13592997942069093,0.010970466028899369,-0.006069525204970831,-0.012963265064160597,-2.2175344085550905e-05,0.003502594545503565,0.07902737883785049,0.0004396410869041413,-0.017548263535510016,0.011975713728359167,0.00360396143759281,0.004501408391237521,0.04407132272667429,0.11046711910910556,0.02379861969122005,-0.023351367222044193,-0.007027682221156246,0.012267177783703355,-0.021814765188430185,-0.017583162113753784,-0.0031306183426268357,0.027289685325632067,-0.027494502132293982,0.006665385790927098,-0.022603383343794105,0.005487749099644292,-0.0017261712260200936,0.010232043884236557,0.0006372891258411659,-0.018176713353539417,-0.04157065152074893,-0.019795152129185017,0.003881920405709205,0.003645887864070653,-0.001572456129174739,-0.018567267840823284,-0.0032368968520432285,0.010659669774531477,0.008014541571783195,-0.01506926889678256,-0.001363479071044338,-0.007881855409142874,0.0048790000162527575,-0.0012273812125488393,-0.004771682735114531,0.0017119631250627702,-0.004132477695111575,0.00546136555019293,-0.00018218561981977706,0.00924842025594571,-0.02201797745805232,0.023521690453908704,-0.0026632365612107357,-0.016097860382242868,-4.7708485866503346e-05,0.003382453928402638,0.008324893114705117,-0.002836425963667973,-0.005790659225917819,-0.004182910228301564,0.002891732860496725,-0.005307348242600484,0.0046984176605242844,-0.006004976157931315,-7.057094809046509e-05,0.011045953008595961,-0.0015327230956711478,-0.0024730345344642084,-0.0045797440056085945,-0.009146756845032415,0.0034267050627248058,-0.013774564142479125,-0.0055606660118681945,0.0021637598229650567,0.00044294730398252997,-0.002430744527545395,-0.00027328065792690776,-2.0247694749585543e-05,-0.005349843890756249,0.0054220073893504386,0.005989304744362858,0.006472553700696794,0.009399292397334624,-0.0095036697415442,0.0036854637737973885,0.007764132357003204,-0.006436990683626949,-0.0007899420408401493,-0.008533990651091953,0.00914712208008332,0.010210968927538788,0.019237428295833154,0.009871128641125475,-0.0009110699353626943,-0.0015651500234428342,-0.009470868997996684,0.011009395824500726,-0.0030338762026952074,-0.012404527081398189,-8.63518016387026e-05,-0.0041963091667579,0.005205216483337691,-0.0030938987997401967,0.001997831474007022,-0.0034628811263757225,-0.0015241892495910397,0.008299166388018106,-0.006222887092630107,-0.005068738254827273,0.000435722479377194,-0.005669390501337531,0.008239950309783504,-0.0008058921805209519,-0.005646819549778386,-0.004287958302711386,-0.0005339519139634383,-0.0016380015674349582,1.7463741945135534e-06,0.006352177575584299,-0.0026541531305960112,0.004069383517758075,0.00013622816757330756,-0.0022761395532784373,-0.006894029361438329,0.000364127446352082,-0.0003973771738428289,0.0022320509889442656,-0.0028841363244586065,0.0036258057322513643,-0.0007108278425565928,-0.0007855961169642141,0.0005980691031588461,4.30086386974926e-15,-0.0055739682657109215,0.0015805494452540403,-2.697001533846661e-05,0.003520519314926964,0.00559941452511714,-0.00041495517163970267,-0.0012573676419145253,-0.003921726632451398,-0.0013927543799816294,-0.0028461374541360806,0.001044966890920085,-0.0005000439649029149,0.003560641486154632,-0.003391524579147495,0.0015156511848646852,7.709151928174348e-05,0.001432842926163752,0.0006772342853616081,-4.6347033429988475e-05,0.0007403886371529175,2.3674244934996195e-05,0.0012130448450231668,-0.001745748970168401,-0.0008060195667734666,-0.00043452752118613487,0.0005198890372963807,-0.0007844551949379453,9.793158903048207e-05,-6.443341976259408e-05,0.0006144529107561586,5.792734176774498e-05,-0.0005642508236577412,6.187449700825234e-05,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tr-31-A,201399,-0.2094926160506702,0.007349511947240594,-0.6731861043278592,0.15354413352964105,0.14694089762439394,0.01565642662585097,-0.09190404424460445,0.007085214609558288,-0.031655713984994845,0.00017877455780871294,-0.0165776818084024,0.005487777463910546,0.00037147631748504783,-0.002096459115745705,0.015956792169711177,0.003947876010291345,0.08460326537664199,-0.004675018530931689,0.005750574001556349,-0.01882604847951609,-0.0349344746950605,-0.004387157773681802,0.009009813348723274,0.017895834286293655,0.00967538936176526,-0.0003750362887786509,-0.029842119553206807,0.019830551760902808,0.006390951015112219,-0.022711900199213705,-0.0021461833208958215,0.012784401739732693,0.006867705739481349,-0.018016791548315262,-0.013605076782122754,-0.023675989876136692,0.013507324759105061,-0.0014986383336332623,-0.01718052235531749,0.022036705859694986,-0.020708032016693332,-0.014626571141144191,-0.017483209509634782,-0.008127150929126914,0.013315434799488168,-0.004001322456639868,-0.0027640767609332737,-0.0153337366638622,-0.025666386633845167,0.0007751683992807772,0.010811741442018201,-0.005105087823752617,0.008869022275723922,-0.00623022457634418,0.005892351368600205,0.001558225654711304,0.00037986409890964035,0.011774291928275815,-7.794905487416676e-05,-0.0010603370375285902,-0.0017549291148776913,-0.0021798697884922794,0.0020474811708879035,0.0018239389288115617,0.016936082622063725,-0.010857014059094781,0.0022789037793744765,-0.013261672766453124,-0.007374948850579713,-0.00587341897940768,0.0008120029386958841,-0.0030572428442671336,0.00625578762588219,-0.009283614556955562,0.0027754140547610264,-0.008992957894469114,0.0017597364656573922,-0.002905284060791851,0.0011321326002880524,-0.002976106214877626,-0.004152570297144403,0.0029948263885379023,0.005482434820758357,-0.0025663731508753338,-0.008422672883241647,0.016321993868349385,-0.011549942870095557,0.002745534543892497,-0.0006698469242937015,-0.004855911412441828,-0.00758085933166876,0.005903563914108163,-0.008678379541104982,0.00833554144609096,-0.010699742920846666,-0.0055508904422240215,0.0005962030424089521,-0.006350766671969259,-0.007929871350412648,0.000936912147319136,0.0019062236645549272,-0.005852480114024004,0.012949662604172683,0.0025301960111527894,-0.0034053764131772514,0.0012358813738339415,-0.0024970295522602913,0.0011683612793039093,-0.0047567991010238906,-0.0028560858325000294,0.0001046033225849554,-0.005676100490860155,-0.00479954465949757,-0.004875968543105271,0.008433834337186913,0.003108270238134305,0.0012258451071332725,-0.008182480760429435,0.003041275248063232,0.005139574427586255,9.693737984543624e-05,0.006864670182144899,0.002273777942770019,0.0018090364022572399,-0.00607504699166138,0.0027007749479214128,-0.004033059247866787,0.00023132335927442412,0.0063869780934064195,0.004604802009303776,0.007236555292458047,0.00039622193753448086,-0.0021817489943101636,-0.0011750311295190908,0.007422370506191146,0.0055115420660649134,0.0035903888204715704,-0.00028364281443320997,6.650939715004576e-05,-0.001765276984786618,0.0027409354272516398,-6.563916131856659e-15,0.010225748378655372,0.0049883083804940324,0.0012750872734420915,0.00013379680772807466,0.0022454824468874056,0.0072922332002820995,0.0005906033556114996,0.003828986054940669,0.0012210586456491786,-0.0025448865173667103,0.0018825941408361503,0.0008518789440083518,0.0016295143841970887,-0.0070366450562942,-0.0044045262963466406,-0.001630716590334216,0.0011569637158609723,0.0002535324515919075,-0.0018783992466736112,-0.0009383934843016973,-0.001036353559927217,-0.0008577942274769607,0.002447339668308605,0.0009065094986660071,0.0017503438146794963,-0.00039603986114718865,0.0019098423806820216,-0.00040057191719188745,-0.0005538138100277615,0.001317491811608604,0.0012827168293141626,3.749469178280116e-05,7.504556835659644e-05,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tr-31-B,201400,0.36468208361028714,0.048821595310142206,0.04369556348137903,0.07273764888864753,-0.0184298604554127,0.0032465244860930076,-0.018080172646044085,0.053418480456982595,0.058311631428721825,0.20152439962372348,-0.0386149475017826,0.0012699122210852842,0.001859252236906397,0.00038570113926193663,-0.0022865602822533713,0.013164626664514678,-0.0001645350551398069,-0.003778276285743207,0.001180228540620363,-0.0011819803846755846,0.0036463772636246947,0.0029716655808731955,0.01193955042621675,0.011137939364603541,-0.04542522609647181,-0.059000260272269345,0.004841372714673555,0.04794928187585485,-0.0801849340917783,0.0078936276706708,0.009588747615649373,0.021536794909834362,-0.0725454036795023,-0.007113644838738637,0.00039722601185452196,0.01908901678748757,0.030645853305285433,0.008265379437335903,0.0002872390922432517,-0.00034844154076488367,-0.01475614837751638,-0.011283027304181428,0.004981687722661034,-0.006871904602036432,-0.006338274939356588,-0.006824146912346751,-0.013698165713828864,0.0013543536297315126,0.013225992409708951,-0.013449539711338247,0.015070195593681418,-0.008140511719594233,0.02117309965611386,0.017577549222955867,0.004896133928996483,-0.0025271884178302835,0.009349874952268264,-0.010099750783086645,-0.01582578295019036,0.002652081953453805,-0.008987874650885425,-0.012453587103922675,0.011136592575010531,0.004709472574405469,0.0038073704790808874,0.00808814497157247,-0.0020893831796022265,0.005511599223248866,-0.004269859287454937,-0.0033922580472535856,0.005569369633450111,0.010284138018516874,-0.0005766293714431994,0.005134362574227269,-0.008879099826972069,0.0015048537513166545,-0.00028026588307886413,0.005287974962866215,0.012078435069592719,0.000389197618656999,-0.009221723366861358,0.007026294529658699,0.0006571271415092602,0.011345044469755714,-0.006757630059709929,-0.012854660296938002,0.005977493174629273,-0.009551480234113908,0.0076251629893090865,-0.016008706656441402,-0.010634023405778072,-0.004167638118793148,0.004238826453568119,-0.010091209429873666,-0.013271810733654021,-0.0002633529673746371,0.0036407469015617942,-0.005623103731733266,0.004151407013578922,0.0009566227609304459,0.008649861164027862,-0.004753383163370855,-0.0009093957175609704,-0.0031324385639702533,-0.003416914737866277,0.01406254212433642,0.020257094042974867,-0.013674329892375174,-0.0058636768896860696,-0.00796823129073312,-0.013227969279481016,-0.004411811063176774,-0.012338862081449901,0.002419664968216114,-0.007116299790359203,0.0008357316787987767,-0.00021154756496422086,0.011227003528724338,0.017706887069502207,0.006842594767333734,0.002371790413105698,0.0007828976816682373,0.0025572855071105466,-0.002542811318680278,0.005471950086784376,-0.0031009965359689398,0.005983860588850585,-0.0005362224382626063,0.00990320122631666,-0.004175796725349757,0.002985355821946447,-0.0015148467324090221,-0.001760554071017482,0.00038586151364272605,-0.001268496060148129,0.00348847918582418,-0.0017778865401150005,-0.0011862404398325318,0.0014447042056183782,0.0009700295905535753,0.0037720016275124453,2.2584799936484185e-15,-0.0023025542232374364,0.0003678126743890306,0.0016964823435430111,-0.0018017473962258891,-0.004795029097112728,0.005715455394084202,-0.0005553731370447342,0.0038245016947018613,0.0034592593506162905,-0.0016756976312587348,-0.0005037642118124547,-0.0001218883585280405,0.0016492370344893044,-0.000244746893729434,-0.0011306279092886807,0.0051274201081788935,-0.0038282781975466198,0.00018738406200191534,-0.00021838328406404027,-0.001714528815398112,2.1745932862741065e-06,-0.00017984268315389808,-0.0008028801083786902,0.0006398691984922753,-0.0008706549298506961,0.0005047457986365542,-0.0002753404560203362,0.0011354010650871389,-0.0005924213439788441,0.0004856714444203983,0.0004462673871267624,-0.00023109511500822748,0.00013690261867796476,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tr-32,201401,-0.21927867609370094,0.016527688098460083,-0.666979560632626,0.15233804091502104,0.1397263463949447,0.012215936923764846,-0.08704576079571529,0.01356943319107859,-0.02705326250919174,-0.0030898373627667344,-0.021279742300970194,0.002935672459829314,0.019288525652277625,-0.0014168834114510122,0.005398586473458272,0.006442608367657174,0.149432099855309,-0.02006884870190117,0.001617887661787768,-0.03925531037023171,-0.07052070047235291,-0.008519289668473743,0.00822839922659073,0.014529612894410762,0.011250249269913292,-0.007013162535846427,-0.021932664382111916,0.0029405448551575184,-0.0014158149168414717,-0.00874894278707918,-0.002244560085308544,0.003980634370359041,0.0025652693210139388,0.005785983906002222,-0.03049579532671784,-0.0515000242947754,0.04049148165628715,-0.031552097555718646,-0.013889201126297933,0.020570158822295664,-0.018623007077614873,-0.015773852868842766,-0.044198949608054434,-0.008285327712426557,0.013546299450972256,-0.004100944325402242,-0.019721519843426544,-0.006306362500766952,-0.01943294012015782,0.0034351354479375384,-0.016543891438823996,-0.008010108262389229,0.0016293526566574276,0.010757606412250873,0.0018889569735081309,-0.009538870843771655,0.0025441196090712722,0.016259093270514943,0.006068229630634471,0.003410076290678374,-0.012703104280097313,-0.011636953555204308,-0.017097266552945266,0.0007185174396824615,-0.01448266817634011,-0.0029119661064022167,0.00972351679089307,-0.006850907850556501,-0.007018421424553398,-0.005969080241383843,-0.00045514112747908447,-2.8237725185175176e-05,0.003345593111232806,-0.002878628487716245,-0.003633377741764485,-0.007902923362367496,-0.006520068431216108,-0.010376998515456036,-0.007204132368073088,-0.011770778520212489,-0.011329860810096345,0.012728850401455636,-0.02717264722110547,0.0066269658257134476,0.024388791173489497,-0.016215648600642524,0.0019081997525967306,-0.007353900420474411,0.005232031207791389,0.008646774971300411,0.009611245371724347,-0.006601957328480595,0.00021614478564592268,-0.005171695433584676,-0.003248352954935028,0.0023857626157849574,0.004867579232465612,-0.005820732893170559,0.00023842361922267208,-0.006417891495648973,-0.000888309380068835,-0.001969281019935605,-0.00254776512417197,-0.004983841397183698,-0.0007059001118448182,-0.00018695426941876938,0.003378163265454012,-0.000748398073942333,0.0006016592817093056,0.0007274659413139974,0.0020620770482186576,0.0033594814279297412,0.013121181163164628,-0.006929387115022887,-0.013447818770084656,-0.02273507414911058,-0.004542588533327063,0.0061287214929221165,-0.004022943024813654,-0.008252760502289822,0.0005726783488659374,-0.0036092845329722422,0.008285752314889603,-0.0069061850848673055,0.008855499612683978,-0.0070558105470893235,-0.005537413897034413,-0.006164904784563242,-0.003199008417877657,-0.012065336228033519,0.0020227573659304383,0.002533767100353291,0.0007962892663973876,-0.004756013475341389,-0.002453203589744697,-0.0028101740101933097,-0.0017818045026838402,0.0025194344578411214,0.00023602918423356608,-0.004398408178729596,0.002407748651052352,1.686785271797113e-15,-0.0025528755783008465,0.0010792500839207353,-7.84382152985763e-05,0.001821545296647929,0.0002821297522167867,-0.0006589226264064941,-0.0007820260373782597,-2.183570936572528e-05,-0.0006921923434163633,0.0021123936150277134,0.001295256306156162,0.0006326133110861756,0.0004119225535375798,0.0010920572143555526,0.001305848718021907,-8.805186487072945e-05,0.0005193859844361053,0.0024545380552956106,0.0046974732855438305,-0.001609484166783333,0.0012328285896650044,0.001791027740736574,0.00032948192514045053,-0.0011376449003731963,0.000576622707666679,-0.002267276282282737,-0.0007110087628713646,-0.0011899975981976337,-0.00013079064571041527,0.000895634452945382,0.0002315764648154519,-2.5561317740844264e-05,4.8742125571580324e-05,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
