pixel,slope,se
1614,6.016172568773736,2.0211942647927796
1615,6.68655749513638,1.0335166689501272
1705,6.142143962304462,2.0725536914056097
1706,6.6593669231536,1.0029967320164697
1707,7.2640488943040955,0.8674630049948963
1797,6.534726265858042,1.1807670185736647
1798,7.9806687075237255,1.2874342397004652
1888,7.287153534019652,1.226901424825879
1889,7.608716737347411,1.167114648143574
1890,9.252504423736205,0.9512748515044196
1980,8.560264378353532,1.4937345346881996
1981,10.21915420657433,1.2571620856155366
2071,8.890524371708487,2.049676980268606
2072,10.869193951518092,1.8639457779604856
2162,10.489887586021947,1.781368960853125
2163,11.232365112770633,1.735548281073288
2254,10.829029903112056,1.997069775371179
2345,10.494330275007563,1.904642630619194
2436,11.099334025946735,1.7324298246405905
2527,11.111083709426676,1.6348980247560887
2618,11.071493586533872,1.4921210129829052
2709,11.297254361302464,1.4320568145048571
2800,10.955595014871564,1.3543408132286576
2891,10.442911121469988,1.5069047045290704
2982,10.269153997095716,1.6554952174905464
3072,10.74780390319083,1.6892902565392844
3073,10.193616774531986,1.7412653250886032
3163,10.663629918072006,1.7604097203410296
3164,10.394985068535362,1.7068527981141353
3254,10.84055628369025,1.9513862484302997
3255,10.572677825395228,1.7170577615727343
3345,10.346906924786678,1.812954940090578
3436,10.487761251029019,1.626010313058051
3526,11.958033776981923,1.5774484991829212
3527,10.909286015521447,1.576287132244918
3617,11.70336409892349,1.4258184935121998
3618,11.036408995374643,1.547729815467974
3708,11.230760793370239,1.4759326139939364
3709,11.339648646028225,1.5160718444580912
3799,11.292991895777531,1.442776146645975
3800,11.239603745581647,1.379084999210529
3890,11.404238859555372,1.1411539542221798
3891,10.65426542402084,1.3440498417928888
3981,10.6523985083003,1.1476093840183095
3982,10.17542430546952,1.4364790257830016
4072,9.836835352996879,1.0560391428351914
4073,9.94400539232723,1.412474616468776
4163,9.49379703409574,0.9354574112592564
4164,9.369829167209742,1.4627539720842004
4253,8.93477725673055,0.7543974781288605
4254,9.46927303437362,0.846001598592142
4255,9.9886801718298,1.027368577975277
4344,8.718336258095434,0.5334865713820988
4345,9.738276825840714,0.7006681065935099
4346,9.685576892547697,0.7976799509346575
4435,7.955572927713066,0.7896289524991117
4436,9.48451543838258,0.6442446519186724
4437,9.853510686113246,0.7681886294897666
4526,7.936516166183234,0.7076859686716986
4527,9.703811026724813,0.6525192087302197
4528,9.785802374089714,0.7084708380613584
4617,7.971127577586242,0.7149999917705427
4618,9.74258615707652,0.7706262060016966
4619,9.81765113592886,0.7845443154252185
4707,7.462145925072461,0.6125568982184809
4708,8.36284090586412,0.6924041117721667
4709,9.779390218344462,0.6261412329141106
4710,10.234054817379429,0.701725429015379
4798,7.924371095673801,0.5778090188341078
4799,8.549042520026713,0.7561935400060795
4800,9.468691924955934,0.6901218907401403
4801,9.766956876732936,0.666883244281689
4888,7.612578975014127,0.5338798034809075
4889,8.113205031696388,0.6021760355199368
4890,9.341129280350959,0.6875817766982486
4891,9.675915556863785,0.6606451500692276
4979,8.100915655305773,0.5182058684232055
4980,8.396469908241004,0.6623625142908185
4981,9.81039561605667,0.6089496284129197
4982,10.571948184247677,0.959138567102264
5069,7.971752000809672,0.4994606397903141
5070,8.2121121650632,0.6551055190322282
5071,9.215080499424172,0.6634074565747672
5072,10.319180889995538,0.606679524504931
5073,10.883326132437707,0.9166629300271891
5160,8.088943293401947,0.5478408839755958
5161,8.1690268679754,0.6244940280988913
5162,10.253169562881588,0.599181422825385
5163,10.678983479920792,0.683645983287642
5250,7.899604286799388,0.49602425514482607
5251,8.430190412526885,0.6169130593818128
5252,8.922910119843353,0.6978395958920847
5253,9.875519933130182,0.8330264776435423
5254,10.729223077662853,0.7667582280501399
5340,7.3932389113305454,0.4852567167565761
5341,7.984605888335606,0.5557296198216862
5342,8.607346721400864,0.5934134971931792
5343,10.272520094341782,0.5273069531690486
5344,10.540524354247015,0.596128429425888
5430,7.153698412589471,0.49787448864255746
5431,7.6019160686504765,0.5646507341844116
5432,8.630272669682725,0.5322760639231926
5433,10.133972296204234,0.5237240039217546
5434,10.276633868615333,0.6027606555014919
5520,7.106064000376636,0.47370111111982693
5521,7.51397427599255,0.537163089728949
5522,8.522409983798816,0.5149863893055175
5523,10.238533961350939,0.5676149431400782
5524,10.250505906428296,0.5446370649249415
5609,6.95126674897274,0.41006632478693783
5610,7.07610953319195,0.47235027736659074
5611,7.221411374303112,0.5183137496822635
5612,8.409287250704303,0.543121813534791
5613,9.637418440432505,0.6563185452943737
5614,10.48062202156709,0.4043679539057989
5699,6.867377156257502,0.4120407404104125
5700,7.102917450178669,0.4580147645182515
5701,7.447882151803221,0.5089323904134203
5702,8.297788313340837,0.5780350410356521
5703,9.604520661710346,0.5899471782976092
5704,10.49361725512484,0.416641924983313
5789,6.677089845143761,0.43164300499714636
5790,6.9283872712573835,0.44613862429111134
5791,7.237342236176108,0.5453644960466685
5792,8.745463372903547,0.6288537791743938
5793,9.779235870806637,0.5464199580415714
5877,6.676349578417135,0.40011999129767717
5878,6.589394139784109,0.41871489968560577
5879,6.990305044751093,0.44377726133184975
5880,6.882883458106208,0.4714277065591225
5881,7.154178494412184,0.561889354045972
5882,8.764497333037431,0.5736522285503431
5883,9.586397909731529,0.6499911906284965
5966,6.601784493738859,0.4053779195545422
5967,6.63120079830379,0.43617980956157065
5968,6.793425563857046,0.4415615007880932
5969,6.683515588665024,0.4762037742730688
5970,7.124111608567603,0.504333735493999
5971,7.345521458994588,0.5874781776795674
5972,9.018851664836951,0.6056255078939623
6016,9.299492280624815,1.0273275216124378
6017,9.339841876288496,0.9653274219461881
6018,9.474099509226711,1.0269846059265548
6019,9.518712921912089,0.8883546321152431
6020,9.193472335060996,0.917035275096413
6021,9.061988424264841,0.8492722264851617
6022,9.042545482672912,0.8656838095942029
6054,6.747022032797558,0.3921175684812547
6055,6.839668508182582,0.42360029990091774
