"Species","contrast","estimate_discrete","pct_discrete","estimate_smooth","pct_smooth"
"AAGA","2023 - 2014",0.261074684802014,29.8324626930582,0.456085804951788,57.7885729366995
"ACER","2023 - 2014",NA,NA,0.00117682300726394,0.117751573517189
"AGAR","2023 - 2014",0.0118032900207283,1.18732237268051,-0.132091760996416,-12.3739415154217
"CNAT","2023 - 2014",-0.714822687334253,-51.0721140555763,-0.796257625135698,-54.8986328023736
"DLAB","2023 - 2014",-0.254300841598051,-22.4541523216115,-0.255861557646364,-22.5750849752488
"DSTO","2023 - 2014",-0.881261723015927,-58.5740099447727,-0.831436668641859,-56.457672222333
"EFAS","2023 - 2014",-0.0646521925723275,-6.26065609135034,-0.100872498386564,-9.59517068462256
"MAUR","2023 - 2014",NA,NA,0.288842251279646,33.4881136127555
"MCAV","2023 - 2014",0.150884342119773,16.2862156131891,0.00130327194474314,0.130412157268278
"MDEC","2023 - 2014",-0.428534938318103,-34.8537170858996,-0.306061179564125,-26.3658430978209
"MMEA","2023 - 2014",-1.40644917277385,-75.4988265281408,-1.24286703336923,-71.1444268054309
"MYCE","2023 - 2014",NA,NA,-0.594925378943194,-44.8396274414939
"OCUL","2023 - 2014",NA,NA,-0.891775677946982,-59.0072792589243
"ORBI","2023 - 2014",0.741053069675942,109.814384318532,0.369492046801058,44.6999419972643
"PAST","2023 - 2014",0.440779369109907,55.3917822246473,0.524941735380661,69.0360357307082
"PBRA","2023 - 2014",NA,NA,-0.203272810047542,-18.3944417107117
"PCLI","2023 - 2014",-0.559900393921017,-42.8734037422373,-0.653701013669104,-47.9882750839835
"PDIV","2023 - 2014",0.409331183915268,50.5810338077354,0.354268480185103,42.5137756370001
"PFUR","2023 - 2014",1.10527108949436,202.004305979187,0.937050655817222,155.244227525401
"PORI","2023 - 2014",NA,NA,0.497131522295504,64.3998726988025
"PPOR","2023 - 2014",-0.0395944434520857,-3.88208273753227,0.173935240466233,18.9978500872135
"PSEU","2023 - 2014",NA,NA,0.62142764293786,86.1583822639545
"PSTR","2023 - 2014",-0.701739193364948,-50.4277603475269,-0.489865898143993,-38.7291445970314
"SCOL","2023 - 2014",NA,NA,-1.1646332485532,-68.7962918899366
"SINT","2023 - 2014",0.34456978182832,41.1382586598218,0.248182016080053,28.1693199736202
"SOLE","2023 - 2014",-0.508587826943627,-39.865581846494,-0.413848880452212,-33.8899151021187
"SRAD","2023 - 2014",-0.118825988485446,-11.2037697015813,-0.228744097487923,-20.4467913881554
"SSID","2023 - 2014",0.511280354587404,66.7424723711911,0.429965647852167,53.72047163576
