Species,med,lo,hi,se,w
SRAD,0.5066418607203974,0.30230523418332816,0.8223869656352655,0.26004086572596863,14.788250330754625
PSTR,0.44342318777375295,0.26440337544898823,0.5628052898078594,0.14920095717943557,44.92176187656502
SOLE,0.27281720598297,0.11703955511394101,0.4289328537627013,0.15594664932438013,41.11950748090937
SINT,0.17894950742496307,0.08808302733874863,0.2705698967682049,0.09124343471472815,120.11486278937674
ORBI,0.20951833328296365,0.1354972604757476,0.2871678899188514,0.0758353147215519,173.88295540922286
CNAT,0.32682608963918675,0.18657861311556156,0.45079787188602666,0.13210962938523255,57.296890251263925
DLAB,0.26733278333734095,0.1783356535404715,0.38520012703498413,0.10343223674725631,93.47342733075023
PAST,0.13808750819996984,0.05585572066702647,0.2691676317560082,0.10665595554449087,87.90827904452024
DSTO,0.04962383952936909,0.026817429684183998,0.07184532131115814,0.022513945813487073,1972.8622690186655
