"Species","contrast","estimate_discrete","pct_discrete","estimate_smooth","pct_smooth","year_num","dens2014"
"AAGA","2023 - 2014",0.31820450520888,37.4657357073745,0.477272795014626,61.1673040462305,2014,0.379003709632211
"ACER","2023 - 2014",NA,NA,0.0708122982734019,7.3379731729609,2014,0.038617287313319
"AGAR","2023 - 2014",0.0936864193254103,9.82153128175762,-0.0843156698860213,-8.08589348600087,2014,0.0697098762853418
"CNAT","2023 - 2014",-0.720654492111471,-51.3566215321956,-0.796475885295119,-54.9084755597884,2014,0.166708897707322
"DLAB","2023 - 2014",-0.274180774212377,-23.980536074835,-0.262478399173091,-23.0857021686525,2014,0.0755534656196036
"DSTO","2023 - 2014",-0.9041958899949,-59.513268789767,-0.835668028443483,-56.6415262272214,2014,0.471547058612052
"EFAS","2023 - 2014",-0.0296112319115714,-2.91771148501125,-0.0958560722167937,-9.1405221309377,2014,0.0967346312793079
"MCAV","2023 - 2014",0.150730335504974,16.2683081457443,0.00087359425987837,0.0873975954484463,2014,1.05783028564701
"MDEC","2023 - 2014",-0.459951060967142,-36.868545932602,-0.306348031990026,-26.386962205179,2014,0.0789234051209286
"MMEA","2023 - 2014",-1.41166860866469,-75.6263756754659,-1.21203209398677,-70.2408070196533,2014,0.189052181589114
"MYCE","2023 - 2014",NA,NA,-0.56804367509134,-43.3367126900702,2014,0.0818144082135121
"ORBI","2023 - 2014",0.754551123300883,112.665670243216,0.380366250870421,46.2820250525091,2014,0.250576668347615
"PAST","2023 - 2014",0.426695413397169,53.2185907343638,0.522227884253982,68.5779190061543,2014,2.67685255794758
"PCLI","2023 - 2014",-0.652275940314294,-47.9141017219798,-0.663050833404762,-48.472308995035,2014,0.0547132017202311
"PDIV","2023 - 2014",0.371832136204371,45.0389492971863,0.334504887228382,39.7248418398725,2014,0.138038265207207
"PFUR","2023 - 2014",1.05732860033559,187.867062872555,0.916147526276637,149.964201163978,2014,0.0578680715423693
"PPOR","2023 - 2014",-0.0871813369390928,-8.34891167148316,0.154576400744594,16.7163446807571,2014,0.530462183701819
"PSTR","2023 - 2014",-0.730108106849068,-51.8143104756298,-0.485827104381797,-38.4811838543333,2014,0.257330981985727
"SINT","2023 - 2014",0.360991049965471,43.4750619753504,0.244347310777247,27.6787695619199,2014,1.41671012936857
"SOLE","2023 - 2014",-0.535433153493021,-41.4584339619713,-0.428414320550588,-34.8458588127784,2014,0.306301254353787
"SRAD","2023 - 2014",-0.0969734502439486,-9.24198981562954,-0.205654008126185,-18.5885295368293,2014,0.738818863505242
"SSID","2023 - 2014",0.512181240723984,66.8927560370009,0.430281570107065,53.7690430257708,2014,4.5742885486371
