Species,year,ed50,se,lower,upper,mean_slope,mean_slope_se,kept_weight,dropped_weight,degC_u,degC_w,degC_w.se
AAGA,2023-2014,4.40846415249713,0.8348779788862146,2.344240337037635,5.639801423689646,10.396269395572583,0.1276013670479267,0.9999999999999987,1.3322676295501878e-15,0.44236003192197376,0.42404289315305205,0.08047401375243757
ACER,2023-2014,7.188732848788363,1.038481485921783,4.99044773790562,9.008789493495895,11.488461671867617,0.3871372195048731,0.9999999999999998,2.220446049250313e-16,0.7213414882067892,0.6257350247676572,0.0928202059952371
AGAR,2023-2014,8.1851050278347,1.2737819619323907,4.828692953475578,9.696763104578944,10.865682153787484,0.2997570356420467,1.0000000000000004,-4.440892098500626e-16,0.821320803832945,0.7532987724090192,0.11905757807723351
CNAT,2023-2014,13.804243390651529,0.828543896319232,11.530198994577189,14.760317749851325,9.570733852912268,0.09617930828446733,0.9746942775285049,0.025305722471495096,1.385163933677077,1.4423390727191783,0.08777559369355309
DLAB,2023-2014,12.361252247447005,2.923997407539104,6.896440410283382,18.76060648906498,9.731308377472713,0.0972538121831141,0.9919068552614637,0.008093144738536284,1.2403693780018294,1.2702559376355214,0.3007412589838908
DSTO,2023-2014,6.907079565077197,0.9317695780533027,4.698034511395706,8.198643515850634,10.27473851033904,0.11155567745452852,0.9999999999999992,7.771561172376096e-16,0.6930794560650906,0.6722389633689355,0.09097871619157911
EFAS,2023-2014,8.806914695059673,1.219223944391049,6.168301382754594,10.871625249235528,10.563517415943275,0.14227360892872226,0.9927507539378856,0.007249246062114412,0.8837152647445131,0.83371043453458,0.11596328885831782
MCAV,2023-2014,5.421009480595117,0.6608920362131999,3.7655197836154466,6.420312869174835,10.213515552640796,0.11430575779612968,0.9923304067416047,0.007669593258395335,0.5439622153958162,0.5307682210552337,0.06497967678682275
MDEC,2023-2014,12.344451534190178,1.5447322275278197,9.728735465014132,15.764479365796852,10.959178758418004,0.2428469257556833,1.0000000000000007,-6.661338147750939e-16,1.2386835382636538,1.1264029729151113,0.14314622095608598
MMEA,2023-2014,10.728380251327376,0.9417408558766479,8.921852449221205,12.592586946272142,12.43467329349395,0.36739592464277565,1.0000000000000007,-6.661338147750939e-16,1.0765215427146066,0.8627794231586818,0.07991013977926043
MYCE,2023-2014,11.026531252969676,1.2496819370340089,8.417332712466903,13.454979028580379,10.612447859797676,0.1891843012496804,1,0,1.1064390110304934,1.039018650422834,0.11920404346498673
ORBI,2023-2014,6.662547345475906,0.9989898968569378,4.371735860595186,8.114449349065131,9.67367162569326,0.14748864204019,0.9682990079129619,0.03170099208703814,0.6685422756033859,0.6887299469397109,0.10380144210691475
PAST,2023-2014,7.083027426700264,0.4353323252580789,6.042338833778945,7.726664450255335,10.10722159098595,0.07992615143636647,0.9965739615786323,0.003426038421367683,0.7107346527485195,0.7007887739413182,0.04342645870550319
PCLI,2023-2014,8.960119428576645,1.0210886027419674,6.975047857795645,10.919880574311055,10.093840909611657,0.13841486009416146,1,0,0.8990883399164585,0.8876818555803224,0.10188930709539937
PDIV,2023-2014,0,205.55247413998663,0,0,10.20040721824477,0.11653307668775685,0.9999999999999998,2.220446049250313e-16,0,0,0.0447
PFUR,2023-2014,0,12.067958553792087,0,3.548164918579805,9.543851224046168,0.15744481847620875,0.9999999999999992,7.771561172376096e-16,0,0,0.0447
PPOR,2023-2014,7.9272372299935006,0.4697594807143804,6.694054282275943,8.492551527086057,10.157525034692664,0.0957085065877474,0.9999999999999992,7.771561172376096e-16,0.7954454868656815,0.7804299967677465,0.0468284085261542
PSTR,2023-2014,6.6345908344083675,1.5395513589718626,2.92554172175133,8.939341665831877,9.951056653623375,0.09119162229252416,0.9968164301464035,0.0031835698535964685,0.6657370258155979,0.6667222452193138,0.15483294709432763
SINT,2023-2014,8.31250607974779,1.4215030153268013,4.780979333965356,10.406585850346517,9.811125631941682,0.08973333334878268,0.9925317510471683,0.007468248952831713,0.8341046513230612,0.8472530463461911,0.14509391730782162
SOLE,2023-2014,10.424370174172083,0.8570160319138644,8.570903146128872,11.92818801275579,10.138696381274492,0.10899179084733582,1.0000000000000002,-2.220446049250313e-16,1.0460161551730427,1.028176580317092,0.08524879068525892
SRAD,2023-2014,13.044664368706183,1.2448459168137813,10.5290170574322,15.494518220486848,9.805961177001508,0.1651569514198927,0.9716428906148848,0.028357109385115153,1.308945235107264,1.330279014289858,0.12890987902419346
SSID,2023-2014,10.422253317512034,0.6232268851172226,8.945673735295696,11.401519457221928,9.767171855646293,0.07393908833754614,0.9938142902315383,0.006185709768461667,1.045803742698466,1.0670697179846431,0.06431760879324486
