Date,Site,Subregion,Longitude,Latitude,dhw
2023-08-07,Y1417,Lower Keys,-81.863873,24.468747,9.907146358958315
2023-08-07,Y1396,Lower Keys,-81.8855,24.488597,9.907146358958315
2023-08-07,Y1421,Lower Keys,-81.853037,24.462467,9.907146358958315
2023-08-03,Y1419,Lower Keys,-81.876164,24.46493,8.778574551812243
2023-08-03,Y1411,Lower Keys,-81.913396,24.473902,8.82428883752653
2023-08-03,Y1404,Lower Keys,-81.89828,24.480528,8.778574551812243
2023-08-03,Y1408,Lower Keys,-81.898473,24.477975,8.778574551812243
2023-07-17,Y3003,Upper Keys,-80.45784,25.01005,5.212858939873321
2023-08-03,Y1413,Lower Keys,-81.881378,24.473451,8.778574551812243
2023-08-02,Y1337,Middle Keys,-81.236125,24.630866,11.935718461275103
2023-08-08,Y1262,Upper Keys,-80.340493,25.111057,9.998575017750266
2023-08-08,Y1263,Upper Keys,-80.372711,25.083481,10.128575018963645
2023-09-14,Y1362,Lower Keys,-81.671523,24.556831,19.690006733302575
2023-08-11,Y1363,Lower Keys,-81.360155,24.555886,14.240005210669981
2023-08-09,Y1357,Lower Keys,-81.551934,24.563889,15.128576737557145
2023-08-09,Y1364,Lower Keys,-81.561932,24.555795,15.128576737557145
2023-07-17,Y3002,Upper Keys,-80.4403,25.02018,4.337144369908742
2023-10-06,YMQ23-1,Marquesas,-82.61717,24.43749,12.554291001813759
2023-08-03,Y1317,Middle Keys,-80.925801,24.721479,11.388575034737594
2023-09-14,Y1480,Tortugas--Dry Tortugas NP,-82.916765,24.593823,12.72429090739361
2023-10-06,Y1299,Mid-Upper Keys Transition,-80.550152,24.903587,15.157148535762515
2023-10-05,Y1302,Mid-Upper Keys Transition,-80.562716,24.887316,14.252862726833143
2023-09-14,Y2433,Tortugas--Dry Tortugas NP,-82.926475,24.615367,12.895719575030466
2023-10-23,Y1167,Biscayne,-80.0962,25.67905,7.54571786882622
2023-09-13,Y1428,Tortugas--Dry Tortugas NP,-82.856799,24.646938,12.83286233772125
2023-10-23,Y1169,Biscayne,-80.10015,25.64298333,7.624289301037794
2023-09-13,Y2437,Tortugas--Dry Tortugas NP,-82.842513,24.631256,13.045719575030471
2023-08-25,Y2371,Lower Keys,-81.683338,24.51489,18.06857806033322
2023-08-25,Y1366,Lower Keys,-81.683661,24.554331,20.050006922973065
2023-08-25,Y1354,Lower Keys,-81.652483,24.569302,20.050006922973065
2023-08-25,Y1359,Lower Keys,-81.66851,24.55972,20.050006922973065
2023-08-25,Y1367,Lower Keys,-81.69243,24.552507,20.050006922973065
2023-08-25,Y1365,Lower Keys,-81.680155,24.555466,20.050006922973065
2023-08-09,Y1373,Lower Keys,-81.573434,24.547201,13.2714335909273
2023-08-17,Y1399,Lower Keys,-81.705192,24.482481,12.947147494682245
2023-08-03,Y1405,Lower Keys,-81.889289,24.479391,8.778574551812243
2023-08-03,Y1409,Lower Keys,-81.894269,24.476177,8.778574551812243
2023-08-17,Y1383,Lower Keys,-81.662215,24.521181,16.28429158813188
2023-08-16,Y1370,Lower Keys,-81.583543,24.548307,15.612862825308534
2023-08-16,Y1371,Lower Keys,-81.579868,24.54814,15.612862825308534
2023-08-09,Y1372,Lower Keys,-81.532872,24.547907,13.048576351702225
2023-08-16,Y1374,Lower Keys,-81.603175,24.542955,15.842862921963851
2023-08-09,Y1375,Lower Keys,-81.57583,24.539015,13.2714335909273
2023-08-16,Y1376,Lower Keys,-81.615829,24.536583,15.842862921963851
2023-08-16,Y1377,Lower Keys,-81.611362,24.531634,15.842862921963851
2023-08-09,Y1379,Lower Keys,-81.48546,24.531115,12.49143339988377
2023-08-16,Y1380,Lower Keys,-81.630593,24.52749,15.842862921963851
2023-08-17,Y1390,Lower Keys,-81.71858,24.50932,16.145719970081537
2023-08-14,Y1392,Lower Keys,-81.739556,24.506675,15.222862543006034
2023-09-06,Y1358,Lower Keys,-81.657418,24.563149,20.440007112643563
2023-08-31,Y1014,Martin,-80.066185,26.996457,4.791431183006086
2023-08-31,Y1015,North Palm Beach,-80.063346,26.993748,4.791431183006086
2023-08-31,Y2014,North Palm Beach,-80.064511,26.990482,4.791431183006086
2023-08-31,Y2015,North Palm Beach,-80.06513,26.987401,4.791431183006086
2023-08-31,Y1016,North Palm Beach,-80.053543,26.960586,4.791431183006086
2023-09-07,Y1237,Upper Keys,-80.265153,25.241554,15.807148805611904
2023-09-11,Y1432,Tortugas--Dry Tortugas NP,-82.904731,24.671565,12.730005196620317
2023-09-07,Y3032,Middle Keys,-81.1554,24.60958,18.33143521213107
2023-09-01,Y1243,Upper Keys,-80.28016,25.222442,15.662862996906046
2023-09-01,Y1246,Upper Keys,-80.287412,25.216437,15.662862996906046
2023-08-26,Y3048,Mid-Upper Keys Transition,-80.623925,24.845491,14.644291205470058
2023-09-14,Y1272,Upper Keys,-80.349,25.034041,13.691434145984907
2023-09-15,Y2457,Tortugas--Dry Tortugas NP,-82.93598,24.65542,13.0214339570169
2023-09-11,Y1220,Biscayne,-80.191347,25.340884,13.815719854618825
2023-07-31,Y3007,Middle Keys,-81.09141,24.63182,8.890003129563166
2023-09-14,Y1475,Tortugas--Dry Tortugas NP,-82.948211,24.61599,12.895719575030466
2023-09-01,Y1248,Upper Keys,-80.284719,25.214018,15.662862996906046
2023-09-07,Y1239,Upper Keys,-80.267198,25.237566,15.807148805611904
2023-09-07,Y1171,Biscayne,-80.122327,25.618678,12.462862428597047
