pixel,Species,dens_m2,w_pixel,lon,lat
1615,AAGA,0,0,-80.12500271728956,27.174999539141325
1615,ACER,0,0,-80.12500271728956,27.174999539141325
1615,AGAR,0,0,-80.12500271728956,27.174999539141325
1615,APAL,0,0,-80.12500271728956,27.174999539141325
1615,CNAT,0,0,-80.12500271728956,27.174999539141325
1615,DLAB,0,0,-80.12500271728956,27.174999539141325
1615,DSTO,0,0,-80.12500271728956,27.174999539141325
1615,EFAS,0,0,-80.12500271728956,27.174999539141325
1615,HCUC,0,0,-80.12500271728956,27.174999539141325
1615,MANG,0,0,-80.12500271728956,27.174999539141325
1615,MARE,0,0,-80.12500271728956,27.174999539141325
1615,MAUR,0,0,-80.12500271728956,27.174999539141325
1615,MCAV,0,0,-80.12500271728956,27.174999539141325
1615,MDEC,0,0,-80.12500271728956,27.174999539141325
1615,MMEA,0,0,-80.12500271728956,27.174999539141325
1615,MYCE,0,0,-80.12500271728956,27.174999539141325
1615,OCUL,0.15,0.25604551920341395,-80.12500271728956,27.174999539141325
1615,ORBI,0,0,-80.12500271728956,27.174999539141325
1615,PAST,0,0,-80.12500271728956,27.174999539141325
1615,PCLI,0,0,-80.12500271728956,27.174999539141325
1615,PDIV,0,0,-80.12500271728956,27.174999539141325
1615,PFUR,0,0,-80.12500271728956,27.174999539141325
1615,PPOR,0,0,-80.12500271728956,27.174999539141325
1615,PSTR,0,0,-80.12500271728956,27.174999539141325
1615,SCOL,0,0,-80.12500271728956,27.174999539141325
1615,SINT,0,0,-80.12500271728956,27.174999539141325
1615,SOLE,0,0,-80.12500271728956,27.174999539141325
1615,SRAD,0.025,0.00226856875080918,-80.12500271728956,27.174999539141325
1615,SSID,0.025,1.349609404027993e-4,-80.12500271728956,27.174999539141325
1706,AAGA,0,0,-80.12500271728956,27.124999539989272
1706,ACER,0,0,-80.12500271728956,27.124999539989272
1706,AGAR,0,0,-80.12500271728956,27.124999539989272
1706,APAL,0,0,-80.12500271728956,27.124999539989272
1706,CNAT,0,0,-80.12500271728956,27.124999539989272
1706,DLAB,0,0,-80.12500271728956,27.124999539989272
1706,DSTO,0,0,-80.12500271728956,27.124999539989272
1706,EFAS,0,0,-80.12500271728956,27.124999539989272
1706,HCUC,0,0,-80.12500271728956,27.124999539989272
1706,MANG,0,0,-80.12500271728956,27.124999539989272
1706,MARE,0,0,-80.12500271728956,27.124999539989272
1706,MAUR,0,0,-80.12500271728956,27.124999539989272
1706,MCAV,0,0,-80.12500271728956,27.124999539989272
1706,MDEC,0,0,-80.12500271728956,27.124999539989272
1706,MMEA,0,0,-80.12500271728956,27.124999539989272
1706,MYCE,0,0,-80.12500271728956,27.124999539989272
1706,OCUL,0.008333333333333335,0.014224751066856334,-80.12500271728956,27.124999539989272
1706,ORBI,0,0,-80.12500271728956,27.124999539989272
1706,PAST,0.0041666666666666675,4.0306334369023134e-5,-80.12500271728956,27.124999539989272
1706,PCLI,0,0,-80.12500271728956,27.124999539989272
1706,PDIV,0,0,-80.12500271728956,27.124999539989272
1706,PFUR,0,0,-80.12500271728956,27.124999539989272
1706,PPOR,0,0,-80.12500271728956,27.124999539989272
1706,PSTR,0,0,-80.12500271728956,27.124999539989272
1706,SCOL,0,0,-80.12500271728956,27.124999539989272
1706,SINT,0,0,-80.12500271728956,27.124999539989272
1706,SOLE,0,0,-80.12500271728956,27.124999539989272
1706,SRAD,0.20416666666666666,0.018526644798274965,-80.12500271728956,27.124999539989272
1706,SSID,0.020833333333333336,1.124674503356661e-4,-80.12500271728956,27.124999539989272
1889,AAGA,0,0,-80.0750027155939,27.024999541685162
1889,ACER,0,0,-80.0750027155939,27.024999541685162
1889,AGAR,0,0,-80.0750027155939,27.024999541685162
1889,APAL,0,0,-80.0750027155939,27.024999541685162
1889,CNAT,0,0,-80.0750027155939,27.024999541685162
